"Source:","C:\Users\felu1\OneDrive\Documentos\proyecto\1_Sistema_FINAL\SF-19-11\Diseños_Finales\1_Sistema_FINAL\SISTEMA_FINAL_esquematico_segmentado\SISTEMA_FINAL_esquematico_segmentado.kicad_sch"
"Date:","20/11/2022 14:26:59"
"Tool:","Eeschema (6.0.6)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","206"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","X2","XO-25-4MHz","Oscillator:ASE-xxxMHz","Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm","http://www.abracon.com/Oscillators/ASV.pdf"
"","","XTAL1","4 MHz","Device:Crystal","Crystal:Crystal_HC18-U_Vertical","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","18","C1, C4, C6, C9, C10, C21, C22, C23, C24, C25, C26, C27, C28, C34, C35, C36, C37, C38","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"2","2","C2, C3","30pF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"3","6","C5, C7, C8, C29, C30, C31","0,1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"4","1","C11","4700 uf","Device:C_Polarized","Capacitor_THT:C_Rect_L11.5mm_W4.3mm_P10.00mm_MKT","~"
"5","2","C12, C16","0.33","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"6","1","C13","10 uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"7","2","C14, C15","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"8","1","C17","4700 uf","Device:C_Polarized","Capacitor_THT:C_Rect_L11.5mm_W2.8mm_P10.00mm_MKT","~"
"9","1","C18","0.1 uf","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"10","1","C19","0.01 uf","Device:C_Polarized","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"11","1","C20","4.7 uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"12","5","C32, C33, C39, C40, C43","C","pspice:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"13","1","D1","B380R","Diode_Bridge:B380R","Diode_THT:Diode_Bridge_Round_D9.0mm","https://diotec.com/tl_files/diotec/files/pdf/datasheets/b40r.pdf"
"14","6","D2, D3, D4, D5, D6, D7","LD271","LED:LD271","LED_THT:LED_D5.0mm","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"15","2","D8, D9","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"16","1","F1","Fuse","Device:Fuse","Library_fusible:fusible_10mm","~"
"17","1","FL1","1FP41-4R","Filter:1FP41-4R","Filter:Filter_FILTERCON_1FPxx","https://filtercon.com.pl/wp-content/uploads/2019/07/Karta-katalogowa-FP-12-1.pdf"
"18","6","J1, J2, J33, J48, J49, J50","N1,2,3","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"19","35","J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J19, J20, J22, J23, J24, J25, J26, J27, J28, J29, J30, J31, J36, J40, J41, J42, J45, J46, J51, J52, J53","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"20","2","J17, J18","4","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"21","1","J21","3","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"22","3","J32, J35, J38","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"23","3","J34, J37, J39","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"24","2","J47, J54","Conn_01x12_Male","Connector:Conn_01x12_Male","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","~"
"25","1","J55","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"26","5","R1, R2, R3, R23, R27","47K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"27","1","R4","10M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"28","3","R5, R21, R22","47k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"29","1","R6","330","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"30","2","R7, R8","1 k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"31","3","R9, R10, R11","220","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"32","7","R12, R13, R14, R15, R16, R17, R18","10K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"33","2","R19, R20","100K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"34","3","R24, R25, R26","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"35","4","R28, R30, R36, R52","100","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"36","4","R29, R31, R37, R53","150","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"37","8","R32, R33, R34, R35, R42, R43, R54, R55","390k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"38","9","R38, R39, R40, R41, R46, R47, R56, R57, R60","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"39","8","R44, R45, R48, R49, R50, R51, R58, R59","1M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"40","1","RV1","10k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3386C_Horizontal","~"
"41","1","SW1","SW_Push_DPDT","Switch:SW_Push_DPDT","llave_6:llave_6pin","~"
"42","3","SW2, SW3, SW4","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","~"
"43","5","T2, T3, T4, T5, T6","PN2222A","Transistor_BJT:PN2222A","Package_TO_SOT_THT:TO-92L_Wide","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF"
"44","1","TR3","Transformer_1P_SS","Device:Transformer_1P_SS","","~"
"45","1","U1","CDP1802ACE","CPU:CDP1802ACE","Package_DIP:DIP-40_W15.24mm_LongPads","http://www.cosmacelf.com/publications/data-sheets/cdp1802.pdf"
"46","1","U2","74HCT573","74xx:74HCT574","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74HCT574"
"47","1","U3"," EEPROM","Memory_RAM:CY62256-70PC","Package_DIP:DIP-28_W15.24mm_LongPads","https://ecee.colorado.edu/~mcclurel/Cypress_SRAM_CY62256.pdf"
"48","1","U4","24LC1025","Memory_EEPROM:24LC1025","Package_DIP:DIP-8_W7.62mm_LongPads","http://ww1.microchip.com/downloads/en/DeviceDoc/21941B.pdf"
"49","1","U5","RAM1","Memory_RAM:CY62256-70PC","Package_DIP:DIP-28_W15.24mm_LongPads","https://ecee.colorado.edu/~mcclurel/Cypress_SRAM_CY62256.pdf"
"50","1","U6","RAM2","Memory_RAM:CY62256-70PC","Package_DIP:DIP-28_W15.24mm_LongPads","https://ecee.colorado.edu/~mcclurel/Cypress_SRAM_CY62256.pdf"
"51","1","U7","MB85RC64","Memory_EEPROM:24LC1025","Package_DIP:DIP-8_W8.89mm_SMDSocket_LongPads","http://ww1.microchip.com/downloads/en/DeviceDoc/21941B.pdf"
"52","1","U8","MAX127","MAX127:MAX127","Package_DIP:DIP-24_W7.62mm_LongPads",""
"53","1","U9","L7812","Regulator_Linear:L7812","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"54","1","U10","L7805","Regulator_Linear:L7805","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"55","1","U11","OPA4277","OP27:OPA4277","Package_DIP:DIP-14_W7.62mm_LongPads","~"
"56","1","U12","L7912","Regulator_Linear:L7912","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/c9/16/86/41/c7/2b/45/f2/CD00000450.pdf/files/CD00000450.pdf/jcr:content/translations/en.CD00000450.pdf"
"57","5","U13, U14, U15, U16, U28","74HC00","74xx:74HC00","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74hc00"
"58","1","U17","74HC132","74xx:74HC00","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74hc00"
"59","2","U18, U30","74HC02","74xx:74HC02","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74hc02"
"60","1","U19","74HC138","74xx:74LS138","Package_DIP:DIP-16_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS138"
"61","1","U20","82C55A","Interface:82C55A","Package_DIP:DIP-40_W15.24mm","http://jap.hu/electronic/8255.pdf"
"62","1","U21","LM285Z-ADJ","Reference_Voltage:LM285Z-ADJ","Package_TO_SOT_THT:TO-92S_Wide","http://www.ti.com/lit/ds/symlink/lm185-adj.pdf"
"63","1","U24","74HC74","74xx:74HC74","Package_DIP:DIP-14_W7.62mm_LongPads","74xx/74hc_hct74.pdf"
"64","1","U25","74HC161","74xx:74LS161","","http://www.ti.com/lit/gpn/sn74LS161"
"65","1","U29","74HC73","74xx:74LS73","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS73"
"66","1","U31","74HC595","74xx:74HC595","","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf"
"67","1","U32","CD4014","4xxx_IEEE:4014","",""
"68","1","X2","XO-25-4MHz","Oscillator:ASE-xxxMHz","Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm","http://www.abracon.com/Oscillators/ASV.pdf"
"69","1","XTAL1","4 MHz","Device:Crystal","Crystal:Crystal_HC18-U_Vertical","~"
